S1_ZINDO,S1_TDDFT,S1_ML
3.3374,4.4325,4.37323528226089
2.4941,3.3859,3.42689509556517
3.4619,4.5442,4.24689035512368
2.2011,3.3551,2.99100133058962
3.4893,4.3941,4.45285481133852
4.0398,4.8862,4.92480066438497
3.5112,4.4027,4.31449533040008
3.637,4.4612,4.52456082124529
3.7258,4.7318,4.55827653920982
3.6946,4.9985,4.82522879961318
3.8635,4.3558,4.7833562798997
3.815,4.8694,4.64611949803678
3.6394,3.757,4.02008793402734
3.5167,4.1006,4.25177730497395
3.6803,4.4348,4.26141067358178
3.3801,4.4273,4.37314048582438
3.4719,3.8625,4.00887890503706
3.5169,4.3705,4.31444410637169
2.8084,4.0557,3.68353214482295
2.4923,3.3896,3.40518340691165
3.2328,3.7245,3.78846904247361
2.4901,3.3769,3.37038903826935
3.6184,5.0134,4.85005385326649
3.6807,4.2726,4.33919318369721
2.5995,3.2869,3.32484272840575
3.2714,4.6951,4.59731349586791
3.5888,4.1483,4.32695244362268
3.6246,4.8303,4.67364520962603
3.5755,4.7504,4.51992982734974
3.0021,3.6311,3.80069943486468
2.4857,3.357,3.30415051342433
3.3916,4.4116,4.39282894033192
3.1875,4.6274,4.50354154822209
3.1468,3.7815,3.82601083061748
2.9281,3.6721,3.46723558196066
3.0857,3.714,3.46322505075729
2.4944,3.3931,3.68563436177568
2.5123,4.0961,3.27685870304109
2.4879,3.1649,3.12894869837114
2.4984,3.3537,3.38011822137759
3.3569,4.0155,3.75547681826389
2.4423,2.5629,3.15477404941087
2.5143,3.3782,3.34186301167828
3.9105,4.0849,4.50839886688184
3.4409,4.2248,4.20936937531097
2.2159,3.3778,2.69574047109683
3.75,4.9444,5.11178946792084
3.3131,4.2725,3.90736915379662
3.3909,4.1582,4.36153477958575
2.987,3.808,3.47108704018286
2.5022,3.3464,3.1398703203975
2.8278,3.244,3.42463286522394
2.9501,3.8123,3.64812463713777
3.4198,4.343,4.47685432693184
3.8973,4.4779,4.44663880008915
3.6213,4.7045,4.34942229008299
